field	dimension	reason
hEpilogueSpill	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hInitStore	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSeqNil	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSeqConsNormal	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSeqConsAbrupt	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hDivCorr	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hErrFam	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hArgsNil	exact-entry-precondition	Lean starts at 0x800031dc without the predecessor branch's zero-argc fact
hSeqNil	no-faithful-machine-instance	ordinary table iterations are not the zero-step SeqNil residual
hSeqConsNormal	recursive-stitching	ordinary table iterations do not identify the normal constructor or its two recursive hypotheses
hSeqConsAbrupt	recursive-stitching	normal table iterations do not identify an abrupt head or its constructor-specific exit
hDivCorr	global-liveness	DivCorrFamily quantifies over every Loaded configuration and an existential correspondence
hErrFam	composite-error-family	ErrFamily combines shared error state with 43 site obligations
hCallPrint	output-semantics	MState and the trace oracle do not model the console-output stream
hCallPrintln	output-semantics	MState and the trace oracle do not model the console-output stream
hCall	no-faithful-machine-instance	the residual relates callee evaluation, argument evaluation, call dispatch, and four shadow states
hCallClosure	no-faithful-machine-instance	the former 0x800031b0 to 0x80003360 query was not the Lean 0x80003254 to 0x800033ec closure splice
hCallPrint	no-faithful-machine-instance	generic call traces do not identify the print target or output semantics
hCallPrintln	no-faithful-machine-instance	generic call traces do not identify the println target or newline output
hCallAssertOk	no-faithful-machine-instance	generic call traces do not identify the assert target, arity, truthiness, or success branch
hSWhileBreak	no-faithful-machine-instance	false-condition while exits do not witness the break/ret/loop family
hEpilogueSpill	no-faithful-machine-instance	the former query covered the eval epilogue, not the interpreter exit restore chain
hInitStore	no-faithful-machine-instance	the interpreter prologue does not establish the Lean initial-store representation premise
